,,
,,
,,
Intel® X-series Processor Family,Oct'18 (10/08),Jan'19 (01/07)
,,
Desktop (LGA2066),Price,Price
"i9-9980XE (24.75M cache, 18 Cores, 36 Threads, 3.00 GHz)","$1,979","$1,979"
"i9-7980XE (24.75M cache, 18 Cores, 36 Threads, 2.60 GHz)","$1,979","$1,979"
"i9-9960X (22M cache, 16 Cores, 32 Threads, 3.10 GHz)","$1,684","$1,684"
"i9-7960X (22M cache, 16 Cores, 32 Threads, 2.80 GHz)","$1,684","$1,684"
"i9-9940X (19.25M cache, 14 Cores, 28 Threads, 3.30 GHz)","$1,387","$1,387"
"i9-7940X (19.25M cache, 14 Cores, 28 Threads, 3.10 GHz)","$1,387","$1,387"
"i9-9920X (19.25M cache, 12 Cores, 24 Threads, 3.50 GHz)","$1,189","$1,189"
"i9-7920X (16.5M cache, 12 Cores, 24 Threads, 2.90 GHz)","$1,189","$1,189"
"i9-9900X (19.25M cache, 10 Cores, 20 Threads, 3.50 GHz)",$989,$989
"i9-7900X (13.75M cache, 10 Cores, 20 Threads, 3.30 GHz)",$989,$989
"i9-9820X (16.5M cache, 10 Cores, 20 Threads, 3.30 GHz)",$889,$889
"i7-7820X (11M cache, 8 Cores, 16 Threads, 3.60 GHz)",$589,$589
"i7-9800X (16.5M cache, 8 Cores, 16 Threads, 3.80 GHz)",$589,$589
"i7-7800X (8.25M cache, 6 Cores, 12 Threads, 3.50 GHz)",$383,$383
"i7-7740X (8M cache, 4 Cores, 8 Threads, 4.30 GHz)",$339,$339
"i5-7640X (6M cache, 4 Cores, 4 Threads, 4.00 GHz)",$242,$242
Intel® CoreTM i9 processor,Oct'18 (10/08),Jan'19 (01/07)
,,
Desktop (LGA1151),Price,Price
"i9-9900KF (16M cache, 8 Cores, 16 Threads, 3.60 GHz)",-,$488
"i9-9900K (16M cache, 8 Cores, 16 Threads, 3.60 GHz)",$488,$488
Intel® CoreTM i7 processor Extreme Edition,Oct'18 (10/08),Jan'19 (01/07)
,,
Desktop (LGA2011),Price,Price
"i7-6950X (25M cache, 10 Cores, 20 Threads, 3.00 GHz)","$1,723","$1,723"
"i7-5960X (20M cache, 8 Cores, 16 Threads, 3.00 GHz)",$999,$999
Intel® CoreTM i7 processor,Oct'18 (10/08),Jan'19 (01/07)
,,
Desktop (LGA1150/1151/1155/2011),Price,Price
"i7-5930K (15M cache, 6 Cores, 12 Threads, 3.50 GHz)",$583,$583
"i7-5820K (15M cache, 6 Cores, 12 Threads, 3.30 GHz)",$389,$389
"i7-9700KF (12M cache, 8 Cores, 8 Threads, 3.60 GHz)",-,$374
"i7-9700K (12M cache, 8 Cores, 8 Threads, 3.60 GHz)",$374,$374
"i7-8700K (12M cache, 6 Cores, 12 Threads, 3.70 GHz)",$359,$359
"i7-7700K (8M cache, 4 Cores, 8 Threads, 4.20 GHz)",$339,$339
"i7-6700K (8M cache, 4 Cores, 8 Threads, 4.00 GHz)",$339,$339
"i7-8700 (12M cache, 6 Cores, 12 Threads, 3.20 GHz)",$303,$303
"i7-7700 (8M cache, 4 Cores, 8 Threads, 3.60 GHz)",$303,$303
"i7-6700 (8M cache, 4 Cores, 8 Threads, 3.40 GHz)",$303,$303
Intel® CoreTM i5 processor,Oct'18 (10/08),Jan'19 (01/07)
,,
Desktop (LGA1155/1150/1151),Price,Price
"i5-9600KF (9M cache, 6 Cores, 6 Threads, 3.70 GHz)",-,$262
"i5-9600K (9M cache, 6 Cores, 6 Threads, 3.70 GHz)",$262,$262
